period,stateid,stateDescription,sectorid,sectorName,customers,price,revenue,sales,customers-units,price-units,revenue-units,sales-units
2023-06,AL,Alabama,ALL,all sectors,2760916.0,11.78,896.61185,7613.92774,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2023-06,US,U.S. Total,TRA,transportation,81.0,12.45,70.63152,567.24651,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2023-06,US,U.S. Total,RES,residential,141557323.0,16.11,19690.88448,122257.26143,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2023-06,US,U.S. Total,OTH,other,,,,,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2023-06,US,U.S. Total,IND,industrial,1097388.0,8.21,6985.22633,85035.58895,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2023-06,US,U.S. Total,COM,commercial,19457648.0,12.81,15082.22866,117713.55686,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2023-06,US,U.S. Total,ALL,all sectors,162112440.0,12.85,41828.97099,325573.65373,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2023-06,PACN,Pacific Noncontiguous,TRA,transportation,0.0,0.0,0.0,0.0,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2023-06,PACN,Pacific Noncontiguous,RES,residential,744520.0,35.01,122.96659,351.27193,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2023-06,PACN,Pacific Noncontiguous,OTH,other,,,,,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2023-06,PACN,Pacific Noncontiguous,IND,industrial,1992.0,29.55,115.94608,392.36986,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2023-06,PACN,Pacific Noncontiguous,COM,commercial,117658.0,30.17,128.77956,426.8061,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2023-06,PACN,Pacific Noncontiguous,ALL,all sectors,864170.0,31.41,367.69222,1170.44789,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2023-06,PACC,Pacific Contiguous,TRA,transportation,19.0,12.34,8.81125,71.38245,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2023-06,PACC,Pacific Contiguous,RES,residential,19353797.0,23.64,2321.57019,9819.42343,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2023-06,PACC,Pacific Contiguous,OTH,other,,,,,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2023-06,PACC,Pacific Contiguous,IND,industrial,205809.0,13.39,915.55943,6836.59831,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2023-06,PACC,Pacific Contiguous,COM,commercial,2444338.0,20.29,2681.10562,13214.69989,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2023-06,PACC,Pacific Contiguous,ALL,all sectors,22003963.0,19.8,5927.04649,29942.10409,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2023-06,MTN,Mountain,TRA,transportation,5.0,11.72,1.45749,12.43692,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2023-06,MTN,Mountain,RES,residential,10536831.0,14.22,1292.94794,9095.64092,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2023-06,MTN,Mountain,OTH,other,,,,,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2023-06,MTN,Mountain,IND,industrial,102261.0,8.12,608.30398,7487.4963,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2023-06,MTN,Mountain,COM,commercial,1488000.0,11.56,1006.19224,8706.73016,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2023-06,MTN,Mountain,ALL,all sectors,12127097.0,11.5,2908.90165,25302.30429,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2023-06,WSC,West South Central,TRA,transportation,6.0,7.49,1.14392,15.26714,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2023-06,WSC,West South Central,RES,residential,17798466.0,13.54,3059.33421,22600.42947,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2023-06,WSC,West South Central,OTH,other,,,,,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2023-06,WSC,West South Central,IND,industrial,427700.0,6.52,1180.87837,18116.98311,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2023-06,WSC,West South Central,COM,commercial,2410830.0,9.25,1715.92779,18558.17437,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2023-06,WSC,West South Central,ALL,all sectors,20637002.0,10.05,5957.28429,59290.85409,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2023-06,ESC,East South Central,TRA,transportation,0.0,0.0,0.0,0.0,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2023-06,ESC,East South Central,RES,residential,8768550.0,13.25,1312.39368,9903.20714,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2023-06,ESC,East South Central,OTH,other,,,,,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2023-06,ESC,East South Central,IND,industrial,26317.0,6.88,562.14153,8168.7315,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2023-06,ESC,East South Central,COM,commercial,1460395.0,12.28,974.50995,7937.06864,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2023-06,ESC,East South Central,ALL,all sectors,10255262.0,10.95,2849.04516,26009.00728,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2023-06,SAT,South Atlantic,TRA,transportation,13.0,10.05,10.83802,107.7898,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2023-06,SAT,South Atlantic,RES,residential,30544695.0,14.85,4807.69106,32382.08262,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2023-06,SAT,South Atlantic,OTH,other,,,,,number of customers,cents per kilowatthour,million dollars,million kilowatthours
2023-06,SAT,South Atlantic,IND,industrial,89858.0,7.54,917.08525,12163.31867,number of customers,cents per kilowatthour,million dollars,million kilowatthours
