date,datatype,station,attributes,value
2022-11-01T00:00:00,TAVG,GHCND:AQW00061705,",W",81.7
2022-11-01T00:00:00,TAVG,GHCND:CA001018611,",C",42.0
2022-11-01T00:00:00,TAVG,GHCND:CA001135126,",C",24.9
2022-11-01T00:00:00,TAVG,GHCND:CA005020881,",C",24.0
2022-11-01T00:00:00,TAVG,GHCND:CA006020559,"1,C",27.3
2022-11-01T00:00:00,TAVG,GHCND:CQC00914080,",7",79.5
2022-11-01T00:00:00,TAVG,GHCND:CQC00914801,",7",81.0
2022-11-01T00:00:00,TAVG,GHCND:CQC00914855,",W",84.7
2022-11-01T00:00:00,TAVG,GHCND:GQC00914025,",7",81.4
2022-11-01T00:00:00,TAVG,GHCND:GQW00041415,",W",81.9
2022-11-01T00:00:00,TAVG,GHCND:MQW00022701,",W",74.4
2022-11-01T00:00:00,TAVG,GHCND:RQC00660053,",7",72.0
2022-11-01T00:00:00,TAVG,GHCND:RQC00660061,",7",71.3
2022-11-01T00:00:00,TAVG,GHCND:RQC00660152,"3,7",79.9
2022-11-01T00:00:00,TAVG,GHCND:RQC00660158,",7",72.3
2022-11-01T00:00:00,TAVG,GHCND:RQC00660426,",7",75.2
2022-11-01T00:00:00,TAVG,GHCND:RQC00662633,",7",76.2
2022-11-01T00:00:00,TAVG,GHCND:RQC00662801,",7",79.1
2022-11-01T00:00:00,TAVG,GHCND:RQC00663431,",7",77.8
2022-11-01T00:00:00,TAVG,GHCND:RQC00664614,",7",78.8
2022-11-01T00:00:00,TAVG,GHCND:RQC00664702,",7",77.8
2022-11-01T00:00:00,TAVG,GHCND:RQC00665064,",7",78.2
2022-11-01T00:00:00,TAVG,GHCND:RQC00665693,",7",80.5
2022-11-01T00:00:00,TAVG,GHCND:RQC00665807,",7",76.7
2022-11-01T00:00:00,TAVG,GHCND:RQC00666725,"1,7",75.1
2022-11-01T00:00:00,TAVG,GHCND:RQC00666730,",7",75.5
2022-11-01T00:00:00,TAVG,GHCND:RQC00668814,"1,7",80.2
2022-11-01T00:00:00,TAVG,GHCND:RQC00669432,",7",68.2
2022-11-01T00:00:00,TAVG,GHCND:RQW00011630,",W",80.7
2022-11-01T00:00:00,TAVG,GHCND:RQW00011641,",W",82.0
2022-11-01T00:00:00,TAVG,GHCND:USC00010063,",7",51.5
2022-11-01T00:00:00,TAVG,GHCND:USC00010160,",7",55.0
2022-11-01T00:00:00,TAVG,GHCND:USC00010178,",7",56.2
2022-11-01T00:00:00,TAVG,GHCND:USC00010260,",7",50.1
2022-11-01T00:00:00,TAVG,GHCND:USC00010390,",7",52.1
2022-11-01T00:00:00,TAVG,GHCND:USC00010402,"1,7",59.0
2022-11-01T00:00:00,TAVG,GHCND:USC00010425,",7",56.6
2022-11-01T00:00:00,TAVG,GHCND:USC00010505,"1,7",53.5
2022-11-01T00:00:00,TAVG,GHCND:USC00010583,",7",60.0
2022-11-01T00:00:00,TAVG,GHCND:USC00010655,",7",50.6
2022-11-01T00:00:00,TAVG,GHCND:USC00010764,",7",55.6
2022-11-01T00:00:00,TAVG,GHCND:USC00011080,",7",58.6
2022-11-01T00:00:00,TAVG,GHCND:USC00011490,",7",51.9
2022-11-01T00:00:00,TAVG,GHCND:USC00011620,",7",54.7
2022-11-01T00:00:00,TAVG,GHCND:USC00012096,",7",53.1
2022-11-01T00:00:00,TAVG,GHCND:USC00012172,",7",62.9
2022-11-01T00:00:00,TAVG,GHCND:USC00012209,"3,7",52.2
2022-11-01T00:00:00,TAVG,GHCND:USC00012813,",7",59.6
2022-11-01T00:00:00,TAVG,GHCND:USC00013043,",7",54.9
2022-11-01T00:00:00,TAVG,GHCND:USC00013160,",7",54.0
2022-11-01T00:00:00,TAVG,GHCND:USC00013251,",7",58.3
2022-11-01T00:00:00,TAVG,GHCND:USC00013511,",7",54.8
2022-11-01T00:00:00,TAVG,GHCND:USC00013519,"1,7",56.0
2022-11-01T00:00:00,TAVG,GHCND:USC00013573,",7",53.9
2022-11-01T00:00:00,TAVG,GHCND:USC00013575,"1,7",53.6
2022-11-01T00:00:00,TAVG,GHCND:USC00013620,",7",53.9
