state_code,date,average_temp,common_date_id
AK,2018-12,13.882978723404255,2018-12AK
AK,2019-01,10.715841584158417,2019-01AK
AK,2019-02,16.47275641025641,2019-02AK
AK,2019-03,29.473566878980893,2019-03AK
AK,2019-04,32.6778125,2019-04AK
AK,2019-05,46.054375,2019-05AK
AK,2019-06,55.98051118210863,2019-06AK
AK,2019-07,60.060312499999995,2019-07AK
AK,2019-08,54.001597444089455,2019-08AK
AK,2019-09,46.87210031347963,2019-09AK
AK,2019-10,33.28421052631579,2019-10AK
AK,2019-11,22.72739726027397,2019-11AK
AK,2019-12,11.911513157894737,2019-12AK
AK,2020-01,-3.2311864406779662,2020-01AK
AK,2020-02,7.641196013289036,2020-02AK
AK,2020-03,16.26644518272425,2020-03AK
AK,2020-04,31.25194805194805,2020-04AK
AK,2020-05,46.63962264150943,2020-05AK
AK,2020-06,52.6405572755418,2020-06AK
AK,2020-07,55.865830721003135,2020-07AK
AK,2020-08,54.2972049689441,2020-08AK
AK,2020-09,44.89581993569132,2020-09AK
AK,2020-10,31.104516129032255,2020-10AK
AK,2020-11,16.18793103448276,2020-11AK
AK,2020-12,13.779151943462898,2020-12AK
AK,2021-01,13.928723404255319,2021-01AK
AK,2021-02,5.649300699300699,2021-02AK
AK,2021-03,13.248630136986302,2021-03AK
AK,2021-04,29.28495145631068,2021-04AK
AK,2021-05,43.24306930693069,2021-05AK
AK,2021-06,53.00298507462687,2021-06AK
AK,2021-07,55.73282051282051,2021-07AK
AK,2021-08,52.22727272727273,2021-08AK
AK,2021-09,42.839999999999996,2021-09AK
AK,2021-10,31.979581151832463,2021-10AK
AK,2021-11,11.369035532994923,2021-11AK
AK,2021-12,10.213297872340425,2021-12AK
AK,2022-01,7.142292490118577,2022-01AK
AK,2022-02,12.927941176470588,2022-02AK
AK,2022-03,21.11679104477612,2022-03AK
AK,2022-04,29.417454545454547,2022-04AK
AK,2022-05,43.15734767025089,2022-05AK
AK,2022-06,55.156164383561645,2022-06AK
AK,2022-07,55.97441077441078,2022-07AK
AK,2022-08,52.86864686468647,2022-08AK
AK,2022-09,45.5257328990228,2022-09AK
AK,2022-10,31.510689655172413,2022-10AK
AK,2022-11,18.81737588652482,2022-11AK
AK,2022-12,9.975185185185186,2022-12AK
AK,2023-01,15.024542124542124,2023-01AK
AK,2023-02,10.660439560439562,2023-02AK
AK,2023-03,17.689399293286222,2023-03AK
AK,2023-04,23.67448275862069,2023-04AK
AK,2023-05,43.358419243986255,2023-05AK
AK,2023-06,52.03197278911564,2023-06AK
AK,2023-07,58.55422535211268,2023-07AK
AK,2023-08,55.87218309859155,2023-08AK
AK,2023-09,43.62885906040268,2023-09AK
AK,2023-10,30.746494464944647,2023-10AK
AL,2018-12,48.682978723404254,2018-12AL
AL,2019-01,45.7659793814433,2019-01AL
AL,2019-02,55.32886597938144,2019-02AL
AL,2019-03,54.1030612244898,2019-03AL
AL,2019-04,63.46210526315789,2019-04AL
AL,2019-05,73.726,2019-05AL
AL,2019-06,77.70204081632653,2019-06AL
AL,2019-07,80.41359223300971,2019-07AL
AL,2019-08,80.4627659574468,2019-08AL
AL,2019-09,80.05876288659793,2019-09AL
AL,2019-10,67.45463917525774,2019-10AL
AL,2019-11,50.45612244897959,2019-11AL
