state_code,date,common_date_id
AK,2018-12,2018-12AK
AK,2019-01,2019-01AK
AK,2019-02,2019-02AK
AK,2019-03,2019-03AK
AK,2019-04,2019-04AK
AK,2019-05,2019-05AK
AK,2019-06,2019-06AK
AK,2019-07,2019-07AK
AK,2019-08,2019-08AK
AK,2019-09,2019-09AK
AK,2019-10,2019-10AK
AK,2019-11,2019-11AK
AK,2019-12,2019-12AK
AK,2020-01,2020-01AK
AK,2020-02,2020-02AK
AK,2020-03,2020-03AK
AK,2020-04,2020-04AK
AK,2020-05,2020-05AK
AK,2020-06,2020-06AK
AK,2020-07,2020-07AK
AK,2020-08,2020-08AK
AK,2020-09,2020-09AK
AK,2020-10,2020-10AK
AK,2020-11,2020-11AK
AK,2020-12,2020-12AK
AK,2021-01,2021-01AK
AK,2021-02,2021-02AK
AK,2021-03,2021-03AK
AK,2021-04,2021-04AK
AK,2021-05,2021-05AK
AK,2021-06,2021-06AK
AK,2021-07,2021-07AK
AK,2021-08,2021-08AK
AK,2021-09,2021-09AK
AK,2021-10,2021-10AK
AK,2021-11,2021-11AK
AK,2021-12,2021-12AK
AK,2022-01,2022-01AK
AK,2022-02,2022-02AK
AK,2022-03,2022-03AK
AK,2022-04,2022-04AK
AK,2022-05,2022-05AK
AK,2022-06,2022-06AK
AK,2022-07,2022-07AK
AK,2022-08,2022-08AK
AK,2022-09,2022-09AK
AK,2022-10,2022-10AK
AK,2022-11,2022-11AK
AK,2022-12,2022-12AK
AK,2023-01,2023-01AK
AK,2023-02,2023-02AK
AK,2023-03,2023-03AK
AK,2023-04,2023-04AK
AK,2023-05,2023-05AK
AK,2023-06,2023-06AK
AL,2018-12,2018-12AL
AL,2019-01,2019-01AL
AL,2019-02,2019-02AL
AL,2019-03,2019-03AL
AL,2019-04,2019-04AL
AL,2019-05,2019-05AL
AL,2019-06,2019-06AL
AL,2019-07,2019-07AL
AL,2019-08,2019-08AL
AL,2019-09,2019-09AL
AL,2019-10,2019-10AL
AL,2019-11,2019-11AL
AL,2019-12,2019-12AL
AL,2020-01,2020-01AL
AL,2020-02,2020-02AL
AL,2020-03,2020-03AL
AL,2020-04,2020-04AL
AL,2020-05,2020-05AL
AL,2020-06,2020-06AL
AL,2020-07,2020-07AL
AL,2020-08,2020-08AL
AL,2020-09,2020-09AL
AL,2020-10,2020-10AL
AL,2020-11,2020-11AL
AL,2020-12,2020-12AL
AL,2021-01,2021-01AL
AL,2021-02,2021-02AL
AL,2021-03,2021-03AL
AL,2021-04,2021-04AL
AL,2021-05,2021-05AL
AL,2021-06,2021-06AL
AL,2021-07,2021-07AL
AL,2021-08,2021-08AL
AL,2021-09,2021-09AL
AL,2021-10,2021-10AL
AL,2021-11,2021-11AL
AL,2021-12,2021-12AL
AL,2022-01,2022-01AL
AL,2022-02,2022-02AL
AL,2022-03,2022-03AL
AL,2022-04,2022-04AL
AL,2022-05,2022-05AL
AL,2022-06,2022-06AL
AL,2022-07,2022-07AL
AL,2022-08,2022-08AL
AL,2022-09,2022-09AL
AL,2022-10,2022-10AL
AL,2022-11,2022-11AL
AL,2022-12,2022-12AL
AL,2023-01,2023-01AL
AL,2023-02,2023-02AL
AL,2023-03,2023-03AL
AL,2023-04,2023-04AL
AL,2023-05,2023-05AL
AL,2023-06,2023-06AL
AR,2018-12,2018-12AR
AR,2019-01,2019-01AR
AR,2019-02,2019-02AR
AR,2019-03,2019-03AR
AR,2019-04,2019-04AR
AR,2019-05,2019-05AR
AR,2019-06,2019-06AR
AR,2019-07,2019-07AR
AR,2019-08,2019-08AR
AR,2019-09,2019-09AR
AR,2019-10,2019-10AR
AR,2019-11,2019-11AR
AR,2019-12,2019-12AR
AR,2020-01,2020-01AR
AR,2020-02,2020-02AR
AR,2020-03,2020-03AR
AR,2020-04,2020-04AR
AR,2020-05,2020-05AR
AR,2020-06,2020-06AR
AR,2020-07,2020-07AR
AR,2020-08,2020-08AR
AR,2020-09,2020-09AR
AR,2020-10,2020-10AR
AR,2020-11,2020-11AR
AR,2020-12,2020-12AR
AR,2021-01,2021-01AR
AR,2021-02,2021-02AR
AR,2021-03,2021-03AR
AR,2021-04,2021-04AR
AR,2021-05,2021-05AR
AR,2021-06,2021-06AR
AR,2021-07,2021-07AR
AR,2021-08,2021-08AR
AR,2021-09,2021-09AR
AR,2021-10,2021-10AR
AR,2021-11,2021-11AR
AR,2021-12,2021-12AR
AR,2022-01,2022-01AR
AR,2022-02,2022-02AR
AR,2022-03,2022-03AR
AR,2022-04,2022-04AR
AR,2022-05,2022-05AR
AR,2022-06,2022-06AR
AR,2022-07,2022-07AR
AR,2022-08,2022-08AR
AR,2022-09,2022-09AR
AR,2022-10,2022-10AR
AR,2022-11,2022-11AR
AR,2022-12,2022-12AR
AR,2023-01,2023-01AR
AR,2023-02,2023-02AR
AR,2023-03,2023-03AR
AR,2023-04,2023-04AR
AR,2023-05,2023-05AR
AR,2023-06,2023-06AR
AZ,2018-12,2018-12AZ
AZ,2019-01,2019-01AZ
AZ,2019-02,2019-02AZ
AZ,2019-03,2019-03AZ
AZ,2019-04,2019-04AZ
AZ,2019-05,2019-05AZ
AZ,2019-06,2019-06AZ
AZ,2019-07,2019-07AZ
AZ,2019-08,2019-08AZ
AZ,2019-09,2019-09AZ
AZ,2019-10,2019-10AZ
AZ,2019-11,2019-11AZ
AZ,2019-12,2019-12AZ
AZ,2020-01,2020-01AZ
AZ,2020-02,2020-02AZ
AZ,2020-03,2020-03AZ
AZ,2020-04,2020-04AZ
AZ,2020-05,2020-05AZ
AZ,2020-06,2020-06AZ
AZ,2020-07,2020-07AZ
AZ,2020-08,2020-08AZ
AZ,2020-09,2020-09AZ
AZ,2020-10,2020-10AZ
AZ,2020-11,2020-11AZ
AZ,2020-12,2020-12AZ
AZ,2021-01,2021-01AZ
AZ,2021-02,2021-02AZ
AZ,2021-03,2021-03AZ
AZ,2021-04,2021-04AZ
AZ,2021-05,2021-05AZ
AZ,2021-06,2021-06AZ
AZ,2021-07,2021-07AZ
AZ,2021-08,2021-08AZ
AZ,2021-09,2021-09AZ
AZ,2021-10,2021-10AZ
AZ,2021-11,2021-11AZ
AZ,2021-12,2021-12AZ
AZ,2022-01,2022-01AZ
AZ,2022-02,2022-02AZ
AZ,2022-03,2022-03AZ
AZ,2022-04,2022-04AZ
AZ,2022-05,2022-05AZ
AZ,2022-06,2022-06AZ
AZ,2022-07,2022-07AZ
AZ,2022-08,2022-08AZ
AZ,2022-09,2022-09AZ
AZ,2022-10,2022-10AZ
AZ,2022-11,2022-11AZ
AZ,2022-12,2022-12AZ
AZ,2023-01,2023-01AZ
AZ,2023-02,2023-02AZ
AZ,2023-03,2023-03AZ
AZ,2023-04,2023-04AZ
AZ,2023-05,2023-05AZ
AZ,2023-06,2023-06AZ
CA,2018-12,2018-12CA
CA,2019-01,2019-01CA
CA,2019-02,2019-02CA
CA,2019-03,2019-03CA
CA,2019-04,2019-04CA
CA,2019-05,2019-05CA
CA,2019-06,2019-06CA
CA,2019-07,2019-07CA
CA,2019-08,2019-08CA
CA,2019-09,2019-09CA
CA,2019-10,2019-10CA
CA,2019-11,2019-11CA
CA,2019-12,2019-12CA
CA,2020-01,2020-01CA
CA,2020-02,2020-02CA
CA,2020-03,2020-03CA
CA,2020-04,2020-04CA
CA,2020-05,2020-05CA
CA,2020-06,2020-06CA
CA,2020-07,2020-07CA
CA,2020-08,2020-08CA
CA,2020-09,2020-09CA
CA,2020-10,2020-10CA
CA,2020-11,2020-11CA
CA,2020-12,2020-12CA
CA,2021-01,2021-01CA
CA,2021-02,2021-02CA
CA,2021-03,2021-03CA
CA,2021-04,2021-04CA
CA,2021-05,2021-05CA
CA,2021-06,2021-06CA
CA,2021-07,2021-07CA
CA,2021-08,2021-08CA
CA,2021-09,2021-09CA
CA,2021-10,2021-10CA
CA,2021-11,2021-11CA
CA,2021-12,2021-12CA
CA,2022-01,2022-01CA
CA,2022-02,2022-02CA
CA,2022-03,2022-03CA
CA,2022-04,2022-04CA
CA,2022-05,2022-05CA
CA,2022-06,2022-06CA
CA,2022-07,2022-07CA
CA,2022-08,2022-08CA
CA,2022-09,2022-09CA
CA,2022-10,2022-10CA
CA,2022-11,2022-11CA
CA,2022-12,2022-12CA
CA,2023-01,2023-01CA
CA,2023-02,2023-02CA
CA,2023-03,2023-03CA
CA,2023-04,2023-04CA
CA,2023-05,2023-05CA
CA,2023-06,2023-06CA
CO,2018-12,2018-12CO
CO,2019-01,2019-01CO
CO,2019-02,2019-02CO
CO,2019-03,2019-03CO
CO,2019-04,2019-04CO
CO,2019-05,2019-05CO
CO,2019-06,2019-06CO
CO,2019-07,2019-07CO
CO,2019-08,2019-08CO
CO,2019-09,2019-09CO
CO,2019-10,2019-10CO
CO,2019-11,2019-11CO
CO,2019-12,2019-12CO
CO,2020-01,2020-01CO
CO,2020-02,2020-02CO
CO,2020-03,2020-03CO
CO,2020-04,2020-04CO
CO,2020-05,2020-05CO
CO,2020-06,2020-06CO
CO,2020-07,2020-07CO
CO,2020-08,2020-08CO
CO,2020-09,2020-09CO
CO,2020-10,2020-10CO
CO,2020-11,2020-11CO
CO,2020-12,2020-12CO
CO,2021-01,2021-01CO
CO,2021-02,2021-02CO
CO,2021-03,2021-03CO
CO,2021-04,2021-04CO
CO,2021-05,2021-05CO
